datetime,open,high,low,close,volume
2026-04-16 13:00:00,4815.955,4823.575,4784.745,4794.515,60
2026-04-16 14:00:00,4794.358,4805.185,4772.898,4788.575,60
2026-04-16 15:00:00,4788.555,4812.695,4788.015,4806.835,60
2026-04-16 16:00:00,4806.955,4810.098,4784.935,4791.865,60
2026-04-16 17:00:00,4791.915,4795.165,4781.215,4789.015,60
2026-04-16 18:00:00,4789.055,4794.235,4785.345,4789.405,60
2026-04-16 19:00:00,4789.435,4798.395,4789.258,4793.445,60
2026-04-16 20:00:00,4793.118,4793.655,4786.135,4787.975,60
2026-04-16 22:00:00,4790.395,4797.635,4790.395,4794.568,60
2026-04-16 23:00:00,4794.568,4797.675,4791.505,4791.505,60
2026-04-17 00:00:00,4791.475,4800.985,4785.635,4794.615,60
2026-04-17 01:00:00,4794.665,4795.495,4768.000,4789.215,60
2026-04-17 02:00:00,4789.175,4794.495,4784.145,4784.405,60
2026-04-17 03:00:00,4784.335,4797.915,4784.335,4792.948,60
2026-04-17 04:00:00,4792.808,4804.305,4792.265,4802.685,60
2026-04-17 05:00:00,4802.695,4805.935,4793.425,4794.075,60
2026-04-17 06:00:00,4794.005,4795.045,4779.235,4784.795,60
2026-04-17 07:00:00,4784.975,4794.565,4778.598,4784.295,60
2026-04-17 08:00:00,4784.255,4796.775,4780.695,4795.825,60
2026-04-17 09:00:00,4795.865,4800.785,4789.665,4790.125,60
2026-04-17 10:00:00,4790.175,4793.755,4782.045,4787.225,60
2026-04-17 11:00:00,4787.295,4811.555,4783.355,4798.935,60
2026-04-17 12:00:00,4799.005,4847.615,4797.418,4846.195,60
2026-04-17 13:00:00,4846.215,4889.335,4834.825,4880.175,60
2026-04-17 14:00:00,4880.613,4885.145,4860.525,4872.705,60
2026-04-17 15:00:00,4872.885,4880.275,4854.595,4867.145,60
2026-04-17 16:00:00,4867.078,4873.098,4863.375,4866.645,60
2026-04-17 17:00:00,4866.685,4869.315,4853.515,4862.248,60
2026-04-17 18:00:00,4862.325,4867.798,4855.378,4857.858,60
2026-04-17 19:00:00,4857.858,4860.985,4852.485,4854.098,60
2026-04-17 20:00:00,4854.135,4854.955,4825.925,4829.115,60
2026-04-19 22:00:00,4767.405,4794.635,4758.085,4778.698,60
2026-04-19 23:00:00,4778.698,4778.848,4736.635,4754.945,60
2026-04-20 00:00:00,4754.995,4774.185,4744.295,4772.105,60
2026-04-20 01:00:00,4772.165,4814.035,4771.345,4807.525,60
2026-04-20 02:00:00,4807.415,4808.825,4792.908,4796.905,60
2026-04-20 03:00:00,4796.935,4798.285,4788.445,4790.645,60
2026-04-20 04:00:00,4790.975,4795.575,4786.858,4788.715,60
2026-04-20 05:00:00,4788.785,4795.845,4779.285,4790.705,60
2026-04-20 06:00:00,4790.665,4795.305,4783.578,4795.255,60
2026-04-20 07:00:00,4795.635,4805.605,4786.605,4789.465,60
2026-04-20 08:00:00,4789.445,4796.125,4785.835,4796.085,60
2026-04-20 09:00:00,4796.025,4797.765,4783.235,4791.335,60
2026-04-20 10:00:00,4791.315,4800.765,4789.485,4795.685,60
2026-04-20 11:00:00,4795.575,4810.775,4786.315,4810.395,60
2026-04-20 12:00:00,4810.325,4821.848,4798.795,4803.295,60
2026-04-20 13:00:00,4803.245,4826.188,4799.365,4817.545,60
2026-04-20 14:00:00,4817.855,4827.348,4792.045,4804.895,60
2026-04-20 15:00:00,4804.858,4809.315,4792.425,4799.495,60
2026-04-20 16:00:00,4799.515,4806.065,4792.725,4805.225,60
2026-04-20 17:00:00,4805.445,4811.935,4803.558,4806.515,60
2026-04-20 18:00:00,4806.535,4816.198,4806.535,4813.798,60
2026-04-20 19:00:00,4813.588,4821.058,4810.055,4814.135,60
2026-04-20 20:00:00,4813.978,4821.705,4811.975,4820.265,60
2026-04-20 22:00:00,4821.098,4832.845,4819.395,4827.318,60
2026-04-20 23:00:00,4827.078,4831.338,4819.525,4821.485,60
2026-04-21 00:00:00,4821.795,4830.565,4816.575,4823.825,60
2026-04-21 01:00:00,4823.845,4824.485,4805.365,4809.798,60
2026-04-21 02:00:00,4809.805,4810.115,4802.115,4806.595,60
2026-04-21 03:00:00,4806.645,4807.555,4792.345,4796.945,60
2026-04-21 04:00:00,4797.155,4797.675,4788.465,4788.765,60
2026-04-21 05:00:00,4789.055,4796.725,4782.785,4783.925,60
2026-04-21 06:00:00,4783.945,4790.535,4774.298,4778.535,60
2026-04-21 07:00:00,4778.065,4792.405,4772.395,4785.548,60
2026-04-21 08:00:00,4785.495,4792.735,4774.318,4785.895,60
2026-04-21 09:00:00,4786.250,4789.345,4780.895,4783.415,60
2026-04-21 10:00:00,4783.435,4790.295,4780.545,4789.685,60
2026-04-21 11:00:00,4789.655,4797.935,4775.195,4794.415,60
2026-04-21 12:00:00,4794.595,4796.895,4764.475,4778.535,60
2026-04-21 13:00:00,4778.955,4794.165,4759.585,4778.825,60
2026-04-21 14:00:00,4778.795,4782.485,4723.360,4738.915,60
2026-04-21 15:00:00,4739.095,4757.385,4727.595,4741.425,60
2026-04-21 16:00:00,4741.385,4746.860,4708.065,4710.865,60
2026-04-21 17:00:00,4710.935,4722.055,4696.645,4710.875,60
2026-04-21 18:00:00,4710.785,4714.455,4692.088,4709.165,60
2026-04-21 19:00:00,4709.605,4714.825,4668.275,4678.875,60
2026-04-21 20:00:00,4678.875,4720.585,4668.685,4720.045,60
2026-04-21 22:00:00,4720.145,4729.035,4715.055,4718.998,60
2026-04-21 23:00:00,4718.968,4740.345,4717.528,4737.795,60
2026-04-22 00:00:00,4737.765,4747.305,4737.765,4739.595,60
2026-04-22 01:00:00,4739.505,4754.585,4735.565,4751.985,60
