detected_at,timeframe,zone_type,zone_top,zone_bottom,zone_height,atr_at_detection,close_at_detection,trend_1h,strength_1h,trend_5m,strength_5m,zone_5m_nearby,level_1h_nearby,confluence_score,result,move_favor,move_against,move_pips
2025-06-05T14:00:00+02:00,15m,supply,3389.46,3364.9,24.56,21.21,3360.04,bullish,0.505,bearish,0.749,False,True,1,broke,8.0,43.44,-43.44
2025-06-06T14:30:00+02:00,15m,supply,3347.67,3328.26,19.41,16.38,3307.18,,,bullish,0.044,False,True,1,respected,0.0,38.1,0.0
2025-06-06T15:00:00+02:00,15m,supply,3347.67,3328.26,19.41,17.34,3324.57,bearish,0.798,bearish,0.426,False,True,2,respected,17.39,20.72,17.39
2025-06-09T14:45:00+02:00,15m,demand,3321.83,3311.9,9.93,9.92,3336.1,,,bearish,0.178,False,True,1,broke,2.17,42.51,-42.51
2025-06-09T15:00:00+02:00,15m,supply,3321.22,3308.37,12.84,12.73,3293.59,bearish,1.346,bullish,0.469,False,True,2,broke,0.0,44.68,-44.68
2025-06-09T15:45:00+02:00,15m,demand,3320.79,3304.24,16.55,14.27,3338.27,,,bullish,0.083,False,False,0,respected,0.0,34.57,0.0
2025-06-10T15:00:00+02:00,15m,demand,3327.14,3309.97,17.18,14.6,3349.18,bullish,0.403,bearish,0.174,False,True,2,broke,0.0,47.14,-47.14
2025-06-10T15:15:00+02:00,15m,demand,3328.18,3309.97,18.21,15.22,3328.78,,,bullish,0.329,False,True,1,broke,20.4,26.74,-26.74
2025-06-10T18:00:00+02:00,15m,demand,3327.14,3309.97,17.18,15.12,3349.18,bullish,0.127,bearish,0.494,True,True,3,broke,0.0,41.63,-41.63
2025-06-10T18:15:00+02:00,15m,demand,3325.37,3308.92,16.44,14.15,3349.18,,,bearish,0.013,True,True,2,respected,0.0,41.63,0.0
2025-06-11T13:00:00+02:00,15m,demand,3336.06,3326.92,9.14,12.42,3346.08,bearish,0.818,bullish,0.295,False,False,0,respected,27.49,17.43,27.49
2025-06-11T13:15:00+02:00,15m,demand,3336.06,3326.92,9.14,13.26,3367.6,,,bearish,0.3,False,False,0,respected,5.97,38.95,5.97
2025-06-11T15:00:00+02:00,15m,demand,3352.45,3333.16,19.29,17.64,3373.57,bullish,0.353,bearish,0.476,True,True,3,respected,0.0,40.43,0.0
2025-06-12T13:30:00+02:00,15m,demand,3362.0,3341.13,20.87,20.11,3385.04,,,bearish,0.329,True,True,2,broke,13.94,46.42,-46.42
2025-06-12T13:45:00+02:00,15m,demand,3362.0,3341.13,20.87,20.94,3364.56,,,bullish,0.276,True,True,2,broke,34.42,25.94,-25.94
2025-06-12T14:15:00+02:00,15m,demand,3362.0,3341.13,20.87,22.57,3398.98,,,bullish,0.179,True,True,2,broke,0.0,60.36,-60.36
2025-06-13T14:45:00+02:00,15m,demand,3424.33,3404.95,19.38,17.51,3441.22,,,bullish,0.868,True,True,2,respected,2.43,37.29,2.43
2025-06-13T15:00:00+02:00,15m,demand,3414.12,3395.42,18.7,16.94,3421.46,bullish,0.132,bullish,0.375,False,True,2,respected,22.2,17.52,22.2
2025-06-13T15:30:00+02:00,15m,demand,3424.33,3406.88,17.45,16.0,3441.18,,,bullish,0.13,True,True,2,broke,1.19,37.24,-37.24
2025-06-15T17:30:00+02:00,15m,supply,3445.59,3440.79,4.8,4.03,3435.65,,,bullish,0.169,True,True,2,respected,3.06,10.13,3.06
2025-06-16T13:15:00+02:00,15m,supply,3444.02,3418.98,25.04,22.48,3392.22,,,bullish,0.208,False,True,1,broke,9.29,59.1,-59.1
2025-06-16T13:30:00+02:00,15m,supply,3444.02,3418.98,25.04,23.08,3382.93,,,bearish,0.666,False,True,1,broke,0.0,68.39,-68.39
2025-06-16T13:45:00+02:00,15m,supply,3444.02,3418.98,25.04,22.3,3400.92,,,bullish,0.837,False,True,1,broke,17.99,50.4,-50.4
2025-06-16T14:00:00+02:00,15m,supply,3444.02,3418.98,25.04,21.59,3396.2,bullish,0.631,bullish,0.281,False,True,1,broke,13.27,55.12,-55.12
2025-06-16T14:15:00+02:00,15m,supply,3438.37,3415.7,22.67,20.25,3382.93,,,bearish,0.978,False,True,1,broke,0.0,68.39,-68.39
2025-06-16T15:30:00+02:00,15m,supply,3434.06,3412.69,21.38,18.41,3393.37,,,bearish,0.223,True,True,2,broke,10.44,57.95,-57.95
2025-06-16T15:45:00+02:00,15m,supply,3438.37,3415.7,22.67,19.47,3411.64,,,bullish,0.19,False,True,1,broke,28.71,39.68,-39.68
2025-06-16T16:00:00+02:00,15m,demand,3402.33,3382.93,19.4,18.15,3423.92,bearish,0.763,bullish,0.04,False,True,1,respected,27.4,40.99,27.4
2025-06-16T16:15:00+02:00,15m,demand,3402.33,3382.93,19.4,19.25,3451.32,,,bullish,0.118,False,True,1,respected,0.0,68.39,0.0
2025-06-16T16:30:00+02:00,15m,demand,3402.33,3382.93,19.4,17.84,3451.32,,,bullish,0.077,False,True,1,respected,0.0,68.39,0.0
2025-06-16T16:45:00+02:00,15m,supply,3444.02,3418.98,25.04,21.09,3384.93,,,bearish,0.544,False,True,1,respected,2.0,53.59,2.0
2025-06-16T17:00:00+02:00,15m,supply,3438.37,3415.7,22.67,20.32,3383.78,bullish,0.334,bullish,0.096,False,True,1,respected,0.2,54.74,0.2
2025-06-16T17:15:00+02:00,15m,supply,3444.02,3418.98,25.04,21.39,3414.93,,,bullish,0.342,False,True,1,respected,26.34,23.59,26.34
2025-06-16T17:30:00+02:00,15m,demand,3402.33,3382.93,19.4,21.38,3423.8,,,bearish,0.157,False,True,1,respected,14.71,35.21,14.71
2025-06-16T18:00:00+02:00,15m,demand,3402.33,3382.93,19.4,24.11,3436.49,bearish,0.583,bullish,0.134,False,True,1,respected,0.63,50.93,0.63
2025-06-16T18:15:00+02:00,15m,supply,3444.02,3418.98,25.04,24.97,3391.3,,,bearish,0.549,False,True,1,respected,5.74,24.0,5.74
